UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Oracle,@tweettheoracle,2011-01-01T22:19:20.000Z,"The Oracle
@tweettheoracle
·
Jan 1, 2011",$MSFT $GOOG $AAPL http://mktsentiment.com Market Sentiment in Twitter correaltion with stock price spon http://tinyurl.com/25pttun,,,,,[],https://twitter.com/tweettheoracle/status/21329652807114753
Asif Suria,@AsifSuria,2011-01-01T05:36:57.000Z,"Asif Suria
@AsifSuria
·
Jan 1, 2011",Considering ditching AT&T/iPhone and switching to Sprint with either the HTC EVO 4G or Samsung Epic 4G. Any suggestions? $T $S $AAPL,,,,,[],https://twitter.com/AsifSuria/status/21077395045879808
downhillracer,@brandy117,2011-01-01T12:02:36.000Z,"downhillracer
@brandy117
·
Jan 1, 2011","Commented on: ""Tech Stocks Set to Soar in 2011 as New Era of Personal Computing Da... http://soc.li/4YkGoSj $AAPL $RIMM $HPQ $DELL",,,,,[],https://twitter.com/brandy117/status/21174446874173440
Nina Sanderson,@TweetingNews4U,2011-01-01T08:01:22.000Z,"Nina Sanderson
@TweetingNews4U
·
Jan 1, 2011",Hey! $MSFT $GOOG $AAPL  http://mktsentiment.com Market Sentiment in Twitter correaltion with stock price so much fun promo http://trustedsho,,,,,[],https://twitter.com/TweetingNews4U/status/21113738182533120
Patrick Castle,@Hathor4u,2011-01-01T21:17:26.000Z,"Patrick Castle
@Hathor4u
·
Jan 1, 2011","$AAPL, $INTC near trend reversal? Market Sentiment in Twitter first rate ad http://trustedshot.com/cpc/13311972",,,,,[],https://twitter.com/Hathor4u/status/21314076630056960
ethel bartley,@Matriarch4u,2011-01-01T21:17:12.000Z,"ethel bartley
@Matriarch4u
·
Jan 1, 2011","$AAPL, $INTC near trend reversal? Market Sentiment in Twitter first rate ad http://trustedshot.com/cpc/13311972",,,,,[],https://twitter.com/Matriarch4u/status/21314017507155968
nikki castlegrant,@high4u,2011-01-01T21:17:20.000Z,"nikki castlegrant
@high4u
·
Jan 1, 2011","$AAPL, $INTC near trend reversal? Market Sentiment in Twitter first rate ad http://trustedshot.com/cpc/13311972",,,,,[],https://twitter.com/high4u/status/21314050273050625
Neha Rai,@ThePointBlogger,2011-01-01T03:33:23.000Z,"Neha Rai
@ThePointBlogger
·
Dec 31, 2010",Attn.! RT http://mktsentiment.com Twitter Market Sentiment Price Correlation $IMAX $REE $AAPL super cool ad http://tinyurl.com/2c2zjvr,,,,,[],https://twitter.com/ThePointBlogger/status/21046299541372929
Matt,@VCPTrader3,2011-01-01T22:52:32.000Z,"Matt
@VCPTrader3
·
Jan 1, 2011","Other major themes: proliferation of mobile internet ($SWKS $AAPL $BRCM), a growing and increasingly hungry planet ($DBA $POT $AGU)...",,,,,[],https://twitter.com/VCPTrader3/status/21338011111264258
Apple Core: News!,@applenewswatch,2011-01-01T05:01:29.000Z,"Apple Core: News!
@applenewswatch
·
Jan 1, 2011",Summary: iPhone alarms may fail to activate on New Year&#039;s Day $AAPL - http://bit.ly/h9fbiS,,,,,[],https://twitter.com/applenewswatch/status/21068470028345344
Paul Hess,@idea2go,2011-01-01T14:56:29.000Z,"Paul Hess
@idea2go
·
Jan 1, 2011",Music industry was transformed by unbundling and selling per track at reasonable cost.  Magazine pubs should do the same to succeed. $aapl,,,,1,[],https://twitter.com/idea2go/status/21218207574532097
JeffHo,@jeffho111,2011-01-01T17:09:58.000Z,"JeffHo
@jeffho111
·
Jan 1, 2011",Jeff's Tfeeds - You: Apple 2.0: The Island of Misfit Tablets http://bit.ly/hrTvK8 $AAPL:  http://bit.ly/fRFO4P,,,,,[],https://twitter.com/jeffho111/status/21251797473562624
Shankar Arunachalam,@shank__ar,2011-01-01T23:02:53.000Z,"Shankar Arunachalam
@shank__ar
·
Jan 1, 2011","Damn. This is why my alarm dint go off today :| RT 
@CNNMoney
: Apple 2.0: Wake up, iPhone! It's 1/1/2011 http://bit.ly/esEUMh $AAPL #fb",,,,,[],https://twitter.com/shank__ar/status/21340614125690880
Senator Steven,@senatorsteven,2011-01-01T21:39:41.000Z,"Senator Steven
@senatorsteven
·
Jan 1, 2011","RT 
@aamhara
: Goodbye blackberry. I wish I could say I had fun with you, but I didn't. The iphone is looking a lot more friendly. » go $AAPL",,,1,,[],https://twitter.com/senatorsteven/status/21319675006689280
JeffHo,@jeffho111,2011-01-01T17:09:58.000Z,"JeffHo
@jeffho111
·
Jan 1, 2011","Jeff's Tfeeds - You: Apple 2.0: Wake up, iPhone! It's 1/1/2011 http://bit.ly/esEUMh $AAPL:  http://bit.ly/fEcYD0",,,,,[],https://twitter.com/jeffho111/status/21251798538911744
ComboApp,@ComboApp,2011-01-01T21:45:11.000Z,"ComboApp
@ComboApp
·
Jan 1, 2011","On 1/1/2011, the Apple (NASDAQ: AAPL)Â iPhone line of cellphones presented with… http://goo.gl/fb/lfAVo #iPhone",,,,,[],https://twitter.com/ComboApp/status/21321061467430912
writersblock2,@writersblock2,2011-01-01T02:22:34.000Z,"writersblock2
@writersblock2
·
Dec 31, 2010",FCC breaks Obama's promise on Net Neutrality | (The end of the Internet as we know it??)  http://bit.ly/hIOEnk //  $VZ $GOOG $AAPL $CMCSA,,,,,[],https://twitter.com/writersblock2/status/21028478828675073
Paul Hess,@idea2go,2011-01-01T14:55:11.000Z,"Paul Hess
@idea2go
·
Jan 1, 2011",The analysts are wrong about why magazines publications are failing on iPad http://yhoo.it/f3FA7h.  See next tweet for answer.   $aapl,,,,,[],https://twitter.com/idea2go/status/21217881232515072
FairyPynk,@FairyPynk,2011-01-01T19:32:36.000Z,"FairyPynk
@FairyPynk
·
Jan 1, 2011","S&P's Top Internet Predictions For 2011: (GOOG, YHOO, AAPL): ""The coming year should also be another year of sol... http://bit.ly/dRtMvc",,,,,[],https://twitter.com/FairyPynk/status/21287693174444032
CNN Business,@CNNBusiness,2011-01-01T17:07:32.000Z,"CNN Business
@CNNBusiness
·
Jan 1, 2011","Apple 2.0: Wake up, iPhone! It's 1/1/2011 http://bit.ly/esEUMh $AAPL",,,6,1,[],https://twitter.com/CNNBusiness/status/21251188758421504
Tadas Viskanta,@abnormalreturns,2011-01-01T12:36:54.000Z,"Tadas Viskanta
@abnormalreturns
·
Jan 1, 2011","The New Year's Day linkfest is up: rise of the machines, $AAPL vs. $GOOG and thinking about gold. http://stk.ly/gkpanP $$ $GLD #longform",,,1,1,[],https://twitter.com/abnormalreturns/status/21183081914310656
CNN Business,@CNNBusiness,2011-01-01T17:07:32.000Z,"CNN Business
@CNNBusiness
·
Jan 1, 2011",Apple 2.0: The Island of Misfit Tablets http://bit.ly/hrTvK8 $AAPL,,,2,,[],https://twitter.com/CNNBusiness/status/21251186870984705
24/7 Wall St.,@247WallSt,2011-01-01T14:03:02.000Z,"24/7 Wall St.
@247WallSt
·
Jan 1, 2011","Top 5 Analyst Calls of The Week (AMZN, APC, GOOG, VVTV, AAPL) http://bit.ly/fnJhTT",,,1,1,[],https://twitter.com/247WallSt/status/21204754642239488
