{'batch_size': 64, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2521132455702853, 'val_RMSE': 0.6280061217500053}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.01, 'train_RMSE': 0.5575326123431934, 'val_RMSE': 0.6491844579329282}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.18502800006741685, 'val_RMSE': 0.67731446985999}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.18360611360481183, 'val_RMSE': 0.689082668062132}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.23348753559131777, 'val_RMSE': 0.6930738395807381}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.3954033326923559, 'val_RMSE': 0.6941203212235637}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.23959082582206814, 'val_RMSE': 0.6951114912863753}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.19223921611638609, 'val_RMSE': 0.699163983698072}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.3463170046437739, 'val_RMSE': 0.7030328531729935}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.17247578489229187, 'val_RMSE': 0.7053319648148476}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.3324610295991322, 'val_RMSE': 0.7094477942396464}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.25083888753909356, 'val_RMSE': 0.7118028170712373}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.2427381233533857, 'val_RMSE': 0.7159474584580153}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.25987297494777534, 'val_RMSE': 0.7179837914319946}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.2719454847668593, 'val_RMSE': 0.7198132556860309}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.23543474583913096, 'val_RMSE': 0.7209173825894827}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.24575492685084496, 'val_RMSE': 0.7225141288529442}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2556209969024193, 'val_RMSE': 0.7248674757294121}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.2406811328585291, 'val_RMSE': 0.7278449897477646}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.01, 'train_RMSE': 0.2693410320999304, 'val_RMSE': 0.7291115621322992}
